artist	title	format
Chronoboros	Caregivers	Vinyl 12in
Gun Fever	No easy Way	Vinyl 12in
Living Under Drones	Knot On Knot	Vinyl 12in
Mammock	Itch	Vinyl 12in
Coyotes Arrow	Medicine	Vinyl 12in
Three Way plane	Your Kingdom, my life	Vinyl 12in
Unshaped Ahead	8 Cantons	Vinyl 12in
Nothing Thrives	Tales of disgrace	Vinyl 12in
Pirate City	Fortunate Isles	Vinyl 12in
Pirate City	Πειρατεία	Vinyl 12in
Pirate City	Λωβή	Vinyl 12in
The Vagina lips	Random Tapes	Tape
Nausea Bomb	Slap punkabilly	CD
Salto Mortale	Ατελές το ον	CD
Sun of Nothing	The guilt of feeling alive	CD
